Event Type,Latitude,Longitude,start_datetime,end_datetime
Construction,40.63,-74.01,2012-08-24 03:39:28,2012-08-24 04:38:28
Construction,40.63,-74.01,2012-08-24 04:39:28,2012-08-24 05:38:28
Construction,40.63,-74.01,2012-08-24 05:39:28,2012-08-24 06:38:28
Construction,40.63,-74.01,2012-08-24 06:39:28,2012-08-24 07:38:28
Construction,40.63,-74.01,2012-08-24 07:39:28,2012-08-24 08:38:28
Construction,40.63,-74.01,2012-08-24 08:39:28,2012-08-24 09:38:28
Construction,40.63,-74.01,2012-08-24 09:39:28,2012-08-24 10:38:28
Construction,40.63,-74.01,2012-08-24 10:39:28,2012-08-24 11:38:28
Construction,40.63,-74.01,2012-08-24 11:39:28,2012-08-24 12:38:28
Construction,40.63,-74.01,2012-08-24 12:39:28,2012-08-24 13:38:28
Construction,40.63,-74.01,2012-08-24 13:39:28,2012-08-24 14:38:28
Construction,40.63,-74.01,2012-08-24 14:39:28,2012-08-24 15:38:28
Construction,40.63,-74.01,2012-08-24 15:39:28,2012-08-24 16:38:28
Construction,40.63,-74.01,2012-08-24 16:39:28,2012-08-24 17:38:28
Construction,40.63,-74.01,2012-08-24 17:39:28,2012-08-24 18:38:28
Construction,40.63,-74.01,2012-08-24 18:39:28,2012-08-24 19:38:28
Construction,40.63,-74.01,2012-08-24 19:39:28,2012-08-24 20:38:28
Construction,40.63,-74.01,2012-08-24 20:39:28,2012-08-24 21:38:28
Construction,40.63,-74.01,2012-08-24 21:39:28,2012-08-24 22:38:28
Construction,40.63,-74.01,2012-08-24 22:39:28,2012-08-24 23:38:28
Construction,40.63,-74.01,2012-08-24 23:39:28,2012-08-25 00:38:28
Construction,40.63,-74.01,2012-08-25 00:39:28,2012-08-25 01:38:28
Construction,40.63,-74.01,2012-08-25 01:39:28,2012-08-25 02:38:28
Construction,40.63,-74.01,2012-08-25 02:39:28,2012-08-25 03:38:28
Construction,40.63,-74.01,2012-08-25 03:39:28,2012-08-25 04:38:28
Construction,40.63,-74.01,2012-08-25 04:39:28,2012-08-25 05:38:28
Construction,40.63,-74.01,2012-08-25 05:39:28,2012-08-25 06:38:28
Construction,40.63,-74.01,2012-08-25 06:39:28,2012-08-25 07:38:28
Construction,40.63,-74.01,2012-08-25 07:39:28,2012-08-25 08:38:28
Construction,40.63,-74.01,2012-08-25 08:39:28,2012-08-25 09:38:28
Construction,40.63,-74.01,2012-08-25 09:39:28,2012-08-25 10:38:28
Construction,40.63,-74.01,2012-08-25 10:39:28,2012-08-25 11:38:28
Construction,40.63,-74.01,2012-08-25 11:39:28,2012-08-25 12:38:28
Construction,40.63,-74.01,2012-08-25 12:39:28,2012-08-25 13:38:28
Construction,40.63,-74.01,2012-08-25 13:39:28,2012-08-25 14:38:28
Construction,40.63,-74.01,2012-08-25 14:39:28,2012-08-25 15:38:28
Construction,40.63,-74.01,2012-08-25 15:39:28,2012-08-25 16:38:28
Construction,40.63,-74.01,2012-08-25 16:39:28,2012-08-25 17:38:28
Construction,40.63,-74.01,2012-08-25 17:39:28,2012-08-25 18:38:28
Construction,40.63,-74.01,2012-08-25 18:39:28,2012-08-25 19:38:28
Construction,40.63,-74.01,2012-08-25 19:39:28,2012-08-25 20:38:28
Construction,40.63,-74.01,2012-08-25 20:39:28,2012-08-25 21:38:28
Construction,40.63,-74.01,2012-08-25 21:39:28,2012-08-25 22:38:28
Construction,40.63,-74.01,2012-08-25 22:39:28,2012-08-25 23:38:28
Construction,40.63,-74.01,2012-08-25 23:39:28,2012-08-26 00:38:28
Construction,40.63,-74.01,2012-08-26 00:39:28,2012-08-26 01:38:28
Construction,40.63,-74.01,2012-08-26 01:39:28,2012-08-26 02:38:28
Construction,40.63,-74.01,2012-08-26 02:39:28,2012-08-26 03:38:28
Construction,40.63,-74.01,2012-08-26 03:39:28,2012-08-26 04:38:28
Construction,40.63,-74.01,2012-08-26 04:39:28,2012-08-26 05:38:28
Construction,40.63,-74.01,2012-08-26 05:39:28,2012-08-26 06:38:28
Construction,40.63,-74.01,2012-08-26 06:39:28,2012-08-26 07:38:28
Construction,40.63,-74.01,2012-08-26 07:39:28,2012-08-26 08:38:28
Construction,40.63,-74.01,2012-08-26 08:39:28,2012-08-26 09:38:28
Construction,40.63,-74.01,2012-08-26 09:39:28,2012-08-26 10:38:28
Construction,40.63,-74.01,2012-08-26 10:39:28,2012-08-26 11:38:28
Construction,40.63,-74.01,2012-08-26 11:39:28,2012-08-26 12:38:28
Construction,40.63,-74.01,2012-08-26 12:39:28,2012-08-26 13:38:28
Construction,40.63,-74.01,2012-08-26 13:39:28,2012-08-26 14:38:28
Construction,40.63,-74.01,2012-08-26 14:39:28,2012-08-26 15:38:28
Construction,40.63,-74.01,2012-08-26 15:39:28,2012-08-26 16:38:28
Construction,40.63,-74.01,2012-08-26 16:39:28,2012-08-26 17:38:28
Construction,40.63,-74.01,2012-08-26 17:39:28,2012-08-26 18:38:28
Construction,40.63,-74.01,2012-08-26 18:39:28,2012-08-26 19:38:28
Construction,40.63,-74.01,2012-08-26 19:39:28,2012-08-26 20:38:28
Construction,40.63,-74.01,2012-08-26 20:39:28,2012-08-26 21:38:28
Construction,40.63,-74.01,2012-08-26 21:39:28,2012-08-26 22:38:28
Construction,40.63,-74.01,2012-08-26 22:39:28,2012-08-26 23:38:28
Construction,40.63,-74.01,2012-08-26 23:39:28,2012-08-27 00:38:28
Construction,40.63,-74.01,2012-08-27 00:39:28,2012-08-27 01:38:28
Construction,40.63,-74.01,2012-08-27 01:39:28,2012-08-27 02:38:28
Construction,40.63,-74.01,2012-08-27 02:39:28,2012-08-27 03:38:28
Construction,40.63,-74.01,2012-08-27 03:39:28,2012-08-27 04:38:28
Construction,40.63,-74.01,2012-08-27 04:39:28,2012-08-27 05:38:28
Construction,40.63,-74.01,2012-08-27 05:39:28,2012-08-27 06:38:28
Construction,40.63,-74.01,2012-08-27 06:39:28,2012-08-27 07:38:28
Construction,40.63,-74.01,2012-08-27 07:39:28,2012-08-27 08:38:28
Construction,40.63,-74.01,2012-08-27 08:39:28,2012-08-27 09:38:28
Construction,40.63,-74.01,2012-08-27 09:39:28,2012-08-27 10:38:28
Construction,40.63,-74.01,2012-08-27 10:39:28,2012-08-27 11:38:28
Construction,40.63,-74.01,2012-08-27 11:39:28,2012-08-27 12:38:28
Construction,40.63,-74.01,2012-08-27 12:39:28,2012-08-27 13:38:28
Construction,40.63,-74.01,2012-08-27 13:39:28,2012-08-27 14:38:28
Construction,40.63,-74.01,2012-08-27 14:39:28,2012-08-27 15:38:28
Construction,40.63,-74.01,2012-08-27 15:39:28,2012-08-27 16:38:28
Construction,40.63,-74.01,2012-08-27 16:39:28,2012-08-27 17:38:28
Construction,40.63,-74.01,2012-08-27 17:39:28,2012-08-27 18:38:28
Construction,40.63,-74.01,2012-08-27 18:39:28,2012-08-27 19:38:28
Construction,40.63,-74.01,2012-08-27 19:39:28,2012-08-27 20:38:28
Construction,40.63,-74.01,2012-08-27 20:39:28,2012-08-27 21:38:28
Construction,40.63,-74.01,2012-08-27 21:39:28,2012-08-27 22:38:28
Construction,40.63,-74.01,2012-08-27 22:39:28,2012-08-27 23:38:28
Construction,40.63,-74.01,2012-08-27 23:39:28,2012-08-28 00:38:28
Construction,40.63,-74.01,2012-08-28 00:39:28,2012-08-28 01:38:28
Construction,40.63,-74.01,2012-08-28 01:39:28,2012-08-28 02:38:28
Construction,40.63,-74.01,2012-08-28 02:39:28,2012-08-28 03:38:28
Construction,40.63,-74.01,2012-08-28 03:39:28,2012-08-28 04:38:28
Construction,40.63,-74.01,2012-08-28 04:39:28,2012-08-28 05:38:28
Construction,40.63,-74.01,2012-08-28 05:39:28,2012-08-28 06:38:28
Construction,40.63,-74.01,2012-08-28 06:39:28,2012-08-28 07:38:28
Construction,40.63,-74.01,2012-08-28 07:39:28,2012-08-28 08:38:28
Construction,40.63,-74.01,2012-08-28 08:39:28,2012-08-28 09:38:28
Construction,40.63,-74.01,2012-08-28 09:39:28,2012-08-28 10:38:28
Construction,40.63,-74.01,2012-08-28 10:39:28,2012-08-28 11:38:28
Construction,40.63,-74.01,2012-08-28 11:39:28,2012-08-28 12:38:28
Construction,40.63,-74.01,2012-08-28 12:39:28,2012-08-28 13:38:28
Construction,40.63,-74.01,2012-08-28 13:39:28,2012-08-28 14:38:28
Construction,40.63,-74.01,2012-08-28 14:39:28,2012-08-28 15:38:28
Construction,40.63,-74.01,2012-08-28 15:39:28,2012-08-28 16:38:28
Construction,40.63,-74.01,2012-08-28 16:39:28,2012-08-28 17:38:28
Construction,40.63,-74.01,2012-08-28 17:39:28,2012-08-28 18:38:28
Construction,40.63,-74.01,2012-08-28 18:39:28,2012-08-28 19:38:28
Construction,40.63,-74.01,2012-08-28 19:39:28,2012-08-28 20:38:28
Construction,40.63,-74.01,2012-08-28 20:39:28,2012-08-28 21:38:28
Construction,40.63,-74.01,2012-08-28 21:39:28,2012-08-28 22:38:28
Construction,40.63,-74.01,2012-08-28 22:39:28,2012-08-28 23:38:28
Construction,40.63,-74.01,2012-08-28 23:39:28,2012-08-29 00:38:28
Construction,40.63,-74.01,2012-08-29 00:39:28,2012-08-29 01:38:28
Construction,40.63,-74.01,2012-08-29 01:39:28,2012-08-29 02:38:28
Construction,40.63,-74.01,2012-08-29 02:39:28,2012-08-29 03:38:28
Construction,40.63,-74.01,2012-08-29 03:39:28,2012-08-29 04:38:28
Construction,40.63,-74.01,2012-08-29 04:39:28,2012-08-29 05:38:28
Construction,40.63,-74.01,2012-08-29 05:39:28,2012-08-29 06:38:28
Construction,40.63,-74.01,2012-08-29 06:39:28,2012-08-29 07:38:28
Construction,40.63,-74.01,2012-08-29 07:39:28,2012-08-29 08:38:28
Construction,40.63,-74.01,2012-08-29 08:39:28,2012-08-29 09:38:28
Construction,40.63,-74.01,2012-08-29 09:39:28,2012-08-29 10:38:28
Construction,40.63,-74.01,2012-08-29 10:39:28,2012-08-29 11:38:28
Construction,40.63,-74.01,2012-08-29 11:39:28,2012-08-29 12:38:28
Construction,40.63,-74.01,2012-08-29 12:39:28,2012-08-29 13:38:28
Construction,40.63,-74.01,2012-08-29 13:39:28,2012-08-29 14:38:28
Construction,40.63,-74.01,2012-08-29 14:39:28,2012-08-29 15:38:28
Construction,40.63,-74.01,2012-08-29 15:39:28,2012-08-29 16:38:28
Construction,40.63,-74.01,2012-08-29 16:39:28,2012-08-29 17:38:28
Construction,40.63,-74.01,2012-08-29 17:39:28,2012-08-29 18:38:28
Construction,40.63,-74.01,2012-08-29 18:39:28,2012-08-29 19:38:28
Construction,40.63,-74.01,2012-08-29 19:39:28,2012-08-29 20:38:28
Construction,40.63,-74.01,2012-08-29 20:39:28,2012-08-29 21:38:28
Construction,40.63,-74.01,2012-08-29 21:39:28,2012-08-29 22:38:28
Construction,40.63,-74.01,2012-08-29 22:39:28,2012-08-29 23:38:28
Construction,40.63,-74.01,2012-08-29 23:39:28,2012-08-30 00:38:28
Construction,40.63,-74.01,2012-08-30 00:39:28,2012-08-30 01:38:28
Construction,40.63,-74.01,2012-08-30 01:39:28,2012-08-30 02:38:28
Construction,40.63,-74.01,2012-08-30 02:39:28,2012-08-30 03:38:28
Construction,40.63,-74.01,2012-08-30 03:39:28,2012-08-30 04:38:28
Construction,40.63,-74.01,2012-08-30 04:39:28,2012-08-30 05:17:00
Construction,40.86,-74.04,2012-10-04 03:38:42,2012-10-04 04:37:42
Construction,40.86,-74.04,2012-10-04 04:38:42,2012-10-04 05:37:42
Construction,40.86,-74.04,2012-10-04 05:38:42,2012-10-04 06:37:42
Construction,40.86,-74.04,2012-10-04 06:38:42,2012-10-04 07:37:42
Construction,40.86,-74.04,2012-10-04 07:38:42,2012-10-04 08:37:42
Construction,40.86,-74.04,2012-10-04 08:38:42,2012-10-04 09:37:42
Construction,40.86,-74.04,2012-10-04 09:38:42,2012-10-04 10:37:42
Construction,40.86,-74.04,2012-10-04 10:38:42,2012-10-04 11:37:42
Construction,40.86,-74.04,2012-10-04 11:38:42,2012-10-04 12:37:42
Construction,40.86,-74.04,2012-10-04 12:38:42,2012-10-04 13:37:42
Construction,40.86,-74.04,2012-10-04 13:38:42,2012-10-04 14:37:42
Construction,40.86,-74.04,2012-10-04 14:38:42,2012-10-04 15:37:42
Construction,40.86,-74.04,2012-10-04 15:38:42,2012-10-04 16:37:42
Construction,40.86,-74.04,2012-10-04 16:38:42,2012-10-04 17:37:42
Construction,40.86,-74.04,2012-10-04 17:38:42,2012-10-04 18:37:42
Construction,40.86,-74.04,2012-10-04 18:38:42,2012-10-04 19:37:42
Construction,40.86,-74.04,2012-10-04 19:38:42,2012-10-04 20:37:42
Construction,40.86,-74.04,2012-10-04 20:38:42,2012-10-04 21:37:42
Construction,40.86,-74.04,2012-10-04 21:38:42,2012-10-04 22:37:42
Construction,40.86,-74.04,2012-10-04 22:38:42,2012-10-04 23:37:42
Construction,40.86,-74.04,2012-10-04 23:38:42,2012-10-05 00:37:42
Construction,40.86,-74.04,2012-10-05 00:38:42,2012-10-05 01:37:42
Construction,40.86,-74.04,2012-10-05 01:38:42,2012-10-05 02:37:42
Construction,40.86,-74.04,2012-10-05 02:38:42,2012-10-05 03:37:42
Construction,40.86,-74.04,2012-10-05 03:38:42,2012-10-05 04:37:42
Construction,40.86,-74.04,2012-10-05 04:38:42,2012-10-05 05:37:42
Construction,40.86,-74.04,2012-10-05 05:38:42,2012-10-05 06:37:42
Construction,40.86,-74.04,2012-10-05 06:38:42,2012-10-05 07:37:42
Construction,40.86,-74.04,2012-10-05 07:38:42,2012-10-05 08:37:42
Construction,40.86,-74.04,2012-10-05 08:38:42,2012-10-05 09:37:42
Construction,40.86,-74.04,2012-10-05 09:38:42,2012-10-05 10:37:42
Construction,40.86,-74.04,2012-10-05 10:38:42,2012-10-05 11:37:42
Construction,40.86,-74.04,2012-10-05 11:38:42,2012-10-05 12:37:42
Construction,40.86,-74.04,2012-10-05 12:38:42,2012-10-05 13:37:42
Construction,40.86,-74.04,2012-10-05 13:38:42,2012-10-05 14:37:42
Construction,40.86,-74.04,2012-10-05 14:38:42,2012-10-05 15:37:42
Construction,40.86,-74.04,2012-10-05 15:38:42,2012-10-05 16:37:42
Construction,40.86,-74.04,2012-10-05 16:38:42,2012-10-05 17:37:42
Construction,40.86,-74.04,2012-10-05 17:38:42,2012-10-05 18:37:42
Construction,40.86,-74.04,2012-10-05 18:38:42,2012-10-05 19:37:42
Construction,40.86,-74.04,2012-10-05 19:38:42,2012-10-05 20:37:42
Construction,40.86,-74.04,2012-10-05 20:38:42,2012-10-05 21:37:42
Construction,40.86,-74.04,2012-10-05 21:38:42,2012-10-05 22:37:42
Construction,40.86,-74.04,2012-10-05 22:38:42,2012-10-05 23:37:42
Construction,40.86,-74.04,2012-10-05 23:38:42,2012-10-06 00:37:42
Construction,40.86,-74.04,2012-10-06 00:38:42,2012-10-06 01:37:42
Construction,40.86,-74.04,2012-10-06 01:38:42,2012-10-06 02:37:42
Construction,40.86,-74.04,2012-10-06 02:38:42,2012-10-06 03:37:42
Construction,40.86,-74.04,2012-10-06 03:38:42,2012-10-06 04:37:42
Construction,40.86,-74.04,2012-10-06 04:38:42,2012-10-06 05:37:42
Construction,40.86,-74.04,2012-10-06 05:38:42,2012-10-06 06:37:42
Construction,40.86,-74.04,2012-10-06 06:38:42,2012-10-06 07:37:42
Construction,40.86,-74.04,2012-10-06 07:38:42,2012-10-06 08:37:42
Construction,40.86,-74.04,2012-10-06 08:38:42,2012-10-06 09:37:42
Construction,40.86,-74.04,2012-10-06 09:38:42,2012-10-06 10:37:42
Construction,40.86,-74.04,2012-10-06 10:38:42,2012-10-06 11:37:42
Construction,40.86,-74.04,2012-10-06 11:38:42,2012-10-06 12:37:42
Construction,40.86,-74.04,2012-10-06 12:38:42,2012-10-06 13:37:42
Construction,40.86,-74.04,2012-10-06 13:38:42,2012-10-06 14:37:42
Construction,40.86,-74.04,2012-10-06 14:38:42,2012-10-06 15:37:42
Construction,40.86,-74.04,2012-10-06 15:38:42,2012-10-06 16:37:42
Construction,40.86,-74.04,2012-10-06 16:38:42,2012-10-06 17:37:42
Construction,40.86,-74.04,2012-10-06 17:38:42,2012-10-06 18:37:42
Construction,40.86,-74.04,2012-10-06 18:38:42,2012-10-06 19:37:42
Construction,40.86,-74.04,2012-10-06 19:38:42,2012-10-06 20:37:42
Construction,40.86,-74.04,2012-10-06 20:38:42,2012-10-06 21:37:42
Construction,40.86,-74.04,2012-10-06 21:38:42,2012-10-06 22:37:42
Construction,40.86,-74.04,2012-10-06 22:38:42,2012-10-06 23:37:42
Construction,40.86,-74.04,2012-10-06 23:38:42,2012-10-07 00:37:42
Construction,40.86,-74.04,2012-10-07 00:38:42,2012-10-07 01:37:42
Construction,40.86,-74.04,2012-10-07 01:38:42,2012-10-07 02:37:42
Construction,40.86,-74.04,2012-10-07 02:38:42,2012-10-07 03:37:42
Construction,40.86,-74.04,2012-10-07 03:38:42,2012-10-07 04:37:42
Construction,40.86,-74.04,2012-10-07 04:38:42,2012-10-07 05:37:42
Construction,40.86,-74.04,2012-10-07 05:38:42,2012-10-07 06:37:42
Construction,40.86,-74.04,2012-10-07 06:38:42,2012-10-07 07:37:42
Construction,40.86,-74.04,2012-10-07 07:38:42,2012-10-07 08:37:42
Construction,40.86,-74.04,2012-10-07 08:38:42,2012-10-07 09:37:42
Construction,40.86,-74.04,2012-10-07 09:38:42,2012-10-07 10:37:42
Construction,40.86,-74.04,2012-10-07 10:38:42,2012-10-07 11:37:42
Construction,40.86,-74.04,2012-10-07 11:38:42,2012-10-07 12:37:42
Construction,40.86,-74.04,2012-10-07 12:38:42,2012-10-07 13:37:42
Construction,40.86,-74.04,2012-10-07 13:38:42,2012-10-07 14:37:42
Construction,40.86,-74.04,2012-10-07 14:38:42,2012-10-07 15:37:42
Construction,40.86,-74.04,2012-10-07 15:38:42,2012-10-07 16:37:42
Construction,40.86,-74.04,2012-10-07 16:38:42,2012-10-07 17:37:42
Construction,40.86,-74.04,2012-10-07 17:38:42,2012-10-07 18:37:42
Construction,40.86,-74.04,2012-10-07 18:38:42,2012-10-07 19:37:42
Construction,40.86,-74.04,2012-10-07 19:38:42,2012-10-07 20:37:42
Construction,40.86,-74.04,2012-10-07 20:38:42,2012-10-07 21:37:42
Construction,40.86,-74.04,2012-10-07 21:38:42,2012-10-07 22:37:42
Construction,40.86,-74.04,2012-10-07 22:38:42,2012-10-07 23:37:42
Construction,40.86,-74.04,2012-10-07 23:38:42,2012-10-08 00:37:42
Construction,40.86,-74.04,2012-10-08 00:38:42,2012-10-08 01:37:42
Construction,40.86,-74.04,2012-10-08 01:38:42,2012-10-08 02:37:42
Construction,40.86,-74.04,2012-10-08 02:38:42,2012-10-08 03:37:42
Construction,40.86,-74.04,2012-10-08 03:38:42,2012-10-08 04:37:42
Construction,40.86,-74.04,2012-10-08 04:38:42,2012-10-08 05:37:42
Construction,40.86,-74.04,2012-10-08 05:38:42,2012-10-08 06:37:42
Construction,40.86,-74.04,2012-10-08 06:38:42,2012-10-08 07:37:42
Construction,40.86,-74.04,2012-10-08 07:38:42,2012-10-08 08:37:42
Construction,40.86,-74.04,2012-10-08 08:38:42,2012-10-08 09:37:42
