PULocationID,PU_lat,PU_long,DO_lat,DO_long,DOLocationID
1,40.694995999999904,-74.18445299999996,40.694995999999904,-74.18445299999996,1
2,40.63898704717672,-73.82337597260663,40.63898704717672,-73.82337597260663,2
3,40.87134223399991,-73.84792614099985,40.87134223399991,-73.84792614099985,3
4,40.72582128133706,-73.97177410965318,40.72582128133706,-73.97177410965318,4
5,40.5625680859999,-74.17421738099989,40.5625680859999,-74.17421738099989,5
6,40.60219816599994,-74.06367318899999,40.60219816599994,-74.06367318899999,6
7,40.767520316999864,-73.90413637799996,40.767520316999864,-73.90413637799996,7
8,40.775128911999936,-73.92334041500001,40.775128911999936,-73.92334041500001,8
9,40.76103651599987,-73.78502434699996,40.76103651599987,-73.78502434699996,9
24,40.7987185259999,-73.95953658899997,40.7987185259999,-73.95953658899997,24
10,40.68999429299992,-73.78326624999988,40.68999429299992,-73.78326624999988,10
11,40.60303462599993,-74.00109809499993,40.60303462599993,-74.00109809499993,11
12,40.704833087999944,-74.01565756599994,40.704833087999944,-74.01565756599994,12
13,40.7190576729999,-74.01244109299991,40.7190576729999,-74.01244109299991,13
18,40.86638287399992,-73.88513907699999,40.86638287399992,-73.88513907699999,18
25,40.689146163999936,-73.98155298299992,40.689146163999936,-73.98155298299992,25
14,40.644313932981866,-74.03407329297129,40.644313932981866,-74.03407329297129,14
15,40.79659824126783,-73.7774039129087,40.79659824126783,-73.7774039129087,15
22,40.62427426799996,-73.99254973599997,40.62427426799996,-73.99254973599997,22
23,40.63501686464005,-74.19568609223377,40.63501686464005,-74.19568609223377,23
16,40.77910542899993,-73.7685730499999,40.77910542899993,-73.7685730499999,16
17,40.701424434999886,-73.94306406899986,40.701424434999886,-73.94306406899986,17
19,40.750389075999855,-73.72339596299987,40.750389075999855,-73.72339596299987,19
20,40.8642908889999,-73.88386792099986,40.8642908889999,-73.88386792099986,20
21,40.60946350199992,-73.97418385499991,40.60946350199992,-73.97418385499991,21
26,40.641478681999914,-73.98331628499983,40.641478681999914,-73.98331628499983,26
27,40.57045847199989,-73.86522555399998,40.57045847199989,-73.86522555399998,27
28,40.71619304099993,-73.79240413399991,40.71619304099993,-73.79240413399991,28
33,40.70337714093203,-73.99619227264343,40.70337714093203,-73.99619227264343,33
29,40.58326987199995,-73.96004798699995,40.58326987199995,-73.96004798699995,29
31,40.85726608099992,-73.87094462199981,40.85726608099992,-73.87094462199981,31
32,40.858061356999876,-73.85882515999995,40.858061356999876,-73.85882515999995,32
30,40.61523267899992,-73.82075892499992,40.61523267899992,-73.82075892499992,30
34,40.709082883152185,-73.97232032119902,40.709082883152185,-73.97232032119902,34
35,40.662124820999956,-73.90105329800004,40.662124820999956,-73.90105329800004,35
36,40.7038734199999,-73.91254913799993,40.7038734199999,-73.91254913799993,36
37,40.70470086199992,-73.93312548700004,40.70470086199992,-73.93312548700004,37
38,40.7025369779999,-73.73624941199995,40.7025369779999,-73.73624941199995,38
39,40.64998769899988,-73.89121853499988,40.64998769899988,-73.89121853499988,39
40,40.68228732999989,-73.998192111,40.68228732999989,-73.998192111,40
41,40.80959972099989,-73.94773985499985,40.80959972099989,-73.94773985499985,41
45,40.71406913199994,-73.99750445299988,40.71406913199994,-73.99750445299988,45
46,40.86047706314786,-73.78452431937963,40.86047706314786,-73.78452431937963,46
42,40.83620061961779,-73.93436121591056,40.83620061961779,-73.93436121591056,42
43,40.76489773199991,-73.97255352299985,40.76489773199991,-73.97255352299985,43
44,40.55644342999989,-74.21220034099993,40.55644342999989,-74.21220034099993,44
47,40.854116885999886,-73.89090203399996,40.854116885999886,-73.89090203399996,47
48,40.75532984899993,-73.99117738199989,40.75532984899993,-73.99117738199989,48
49,40.69632013999994,-73.96062056499981,40.69632013999994,-73.96062056499981,49
50,40.77351005394221,-73.99667705784736,40.77351005394221,-73.99667705784736,50
51,40.86891693399989,-73.82091617199997,40.86891693399989,-73.82091617199997,51
52,40.68239495399995,-73.99588110299992,40.68239495399995,-73.99588110299992,52
53,40.798304872075995,-73.83839013354552,40.798304872075995,-73.83839013354552,53
54,40.69240674985267,-74.00174362072502,40.69240674985267,-74.00174362072502,54
55,40.58456849999991,-73.98671582299981,40.58456849999991,-73.98671582299981,55
56,40.74749682799991,-73.85360568399982,40.74749682799991,-73.85360568399982,56
57,40.749843375999895,-73.8513110499998,40.749843375999895,-73.8513110499998,57
58,40.848189557582444,-73.8156138206772,40.848189557582444,-73.8156138206772,58
59,40.839422732999864,-73.88941724899998,40.839422732999864,-73.88941724899998,59
60,40.839985917999854,-73.87823856799989,40.839985917999854,-73.87823856799989,60
61,40.68343632399992,-73.92916130699992,40.68343632399992,-73.92916130699992,61
62,40.66429953199991,-73.92916752199997,40.66429953199991,-73.92916752199997,62
63,40.68447405199987,-73.86650407899992,40.68447405199987,-73.86650407899992,63
64,40.77863865777707,-73.74412314584049,40.77863865777707,-73.74412314584049,64
65,40.70063447999997,-73.98712491499988,40.70063447999997,-73.98712491499988,65
72,40.65997544099987,-73.92021313099984,40.65997544099987,-73.92021313099984,72
66,40.7059460290057,-73.97906084869959,40.7059460290057,-73.97906084869959,66
67,40.6306818689999,-74.0109702639999,40.6306818689999,-74.0109702639999,67
68,40.740444088999894,-74.00201937799989,40.740444088999894,-74.00201937799989,68
73,40.75023619999991,-73.79566545000002,40.75023619999991,-73.79566545000002,73
69,40.8264281559999,-73.91179361999995,40.8264281559999,-73.91179361999995,69
70,40.76127549899995,-73.85912375899987,40.76127549899995,-73.85912375899987,70
71,40.655273641999905,-73.93177153199984,40.655273641999905,-73.93177153199984,71
79,40.72153595399992,-73.98377990999991,40.72153595399992,-73.98377990999991,79
80,40.728053727696675,-73.93174841322003,40.728053727696675,-73.93174841322003,80
74,40.816512493247096,-73.93380589881859,40.816512493247096,-73.93380589881859,74
85,40.65559378699993,-73.94715896299984,40.65559378699993,-73.94715896299984,85
86,40.61422662157114,-73.76669071688973,40.61422662157114,-73.76669071688973,86
75,40.79254666899993,-73.94103496899987,40.79254666899993,-73.94103496899987,75
76,40.679176984999856,-73.88063900599983,40.679176984999856,-73.88063900599983,76
77,40.67549425099992,-73.8997089949999,40.67549425099992,-73.8997089949999,77
78,40.85317381799995,-73.88963328299991,40.85317381799995,-73.88963328299991,78
81,40.889903740147645,-73.82366848110328,40.889903740147645,-73.82366848110328,81
87,40.70693234399989,-74.00372234899996,40.70693234399989,-74.00372234899996,87
82,40.744071717999944,-73.86768504899995,40.744071717999944,-73.86768504899995,82
83,40.745202717999874,-73.89111026199994,40.745202717999874,-73.89111026199994,83
84,40.52763504199989,-74.16005732699995,40.52763504199989,-74.16005732699995,84
88,40.704775247999905,-74.00974639299996,40.704775247999905,-74.00974639299996,88
89,40.63858633799993,-73.95374853799996,40.63858633799993,-73.95374853799996,89
90,40.73804374699991,-73.9963368949999,40.73804374699991,-73.9963368949999,90
125,40.728314054999906,-74.00269315099992,40.728314054999906,-74.00269315099992,125
91,40.6401731369999,-73.91945472999996,40.6401731369999,-73.91945472999996,91
92,40.770641475999895,-73.82656578899986,40.770641475999895,-73.82656578899986,92
93,40.76407442786309,-73.8569635593979,40.76407442786309,-73.8569635593979,93
94,40.862210436999874,-73.89964261700001,40.862210436999874,-73.89964261700001,94
95,40.738771457999896,-73.84732494199989,40.738771457999896,-73.84732494199989,95
96,40.70832329499996,-73.83804164799996,40.70832329499996,-73.83804164799996,96
97,40.69576842999993,-73.9693409769999,40.69576842999993,-73.9693409769999,97
98,40.73917476499987,-73.76360860199983,40.73917476499987,-73.76360860199983,98
99,40.58649792299988,-74.16842916199994,40.58649792299988,-74.16842916199994,99
100,40.750451608999896,-73.98729377099981,40.750451608999896,-73.98729377099981,100
101,40.75078058093586,-73.70134715908382,40.75078058093586,-73.70134715908382,101
102,40.70642977899993,-73.85595536199988,40.70642977899993,-73.85595536199988,102
103,40.690184824096946,-74.04388559600675,40.690184824096946,-74.04388559600675,103
104,40.7008906303213,-74.03995040794244,40.7008906303213,-74.03995040794244,104
105,40.693343368217555,-74.01674756096064,40.693343368217555,-74.01674756096064,105
106,40.681008521999956,-73.98610388199985,40.681008521999956,-73.98610388199985,106
107,40.73141124499994,-73.98238628799993,40.73141124499994,-73.98238628799993,107
108,40.59717158499997,-73.97148350899987,40.59717158499997,-73.97148350899987,108
109,40.5705086149999,-74.14706472699994,40.5705086149999,-74.14706472699994,109
110,40.550592692999906,-74.11813477599993,40.550592692999906,-74.11813477599993,110
111,40.6596695219999,-73.99516890099986,40.6596695219999,-73.99516890099986,111
112,40.73911477252254,-73.95439555417066,40.73911477252254,-73.95439555417066,112
113,40.72755978299991,-73.99136388099987,40.72755978299991,-73.99136388099987,113
114,40.724201554999915,-73.99257987399992,40.724201554999915,-73.99257987399992,114
115,40.62753689699988,-74.08069514799999,40.62753689699988,-74.08069514799999,115
116,40.82829635099988,-73.93924885699987,40.82829635099988,-73.93924885699987,116
117,40.609655838242325,-73.7763584369479,40.609655838242325,-73.7763584369479,117
118,40.61023476699996,-74.10834417899996,40.61023476699996,-74.10834417899996,118
119,40.844752664999895,-73.9247831879999,40.844752664999895,-73.9247831879999,119
120,40.85885076199988,-73.92295449499989,40.85885076199988,-73.92295449499989,120
149,40.61199284199993,-73.94405560899996,40.61199284199993,-73.94405560899996,149
150,40.58508559299986,-73.9301907789999,40.58508559299986,-73.9301907789999,150
121,40.738206139999875,-73.79911195699995,40.738206139999875,-73.79911195699995,121
122,40.718138601999904,-73.75725671499985,40.718138601999904,-73.75725671499985,122
123,40.61254948599989,-73.96285973999984,40.61254948599989,-73.96285973999984,123
124,40.67171951099988,-73.850964537,40.67171951099988,-73.850964537,124
126,40.82730567799995,-73.88615037899991,40.82730567799995,-73.88615037899991,126
127,40.87302771883775,-73.911224294065,40.87302771883775,-73.911224294065,127
128,40.878898712992644,-73.92359742020388,40.878898712992644,-73.92359742020388,128
129,40.7660516539999,-73.87586503899996,40.7660516539999,-73.87586503899996,129
134,40.71192805799993,-73.82288529599995,40.71192805799993,-73.82288529599995,134
151,40.79301293399991,-73.96371096499993,40.79301293399991,-73.96371096499993,151
130,40.71178631999994,-73.76962552399995,40.71178631999994,-73.76962552399995,130
139,40.68745783899989,-73.74125253099989,40.68745783899989,-73.74125253099989,139
131,40.72239270099994,-73.77732562899998,40.72239270099994,-73.77732562899998,131
132,40.663580133999844,-73.8250346749999,40.663580133999844,-73.8250346749999,132
133,40.64752599199992,-73.97819074399992,40.64752599199992,-73.97819074399992,133
140,40.75849562296791,-73.95854329689507,40.75849562296791,-73.95854329689507,140
135,40.740262275999925,-73.83126834299985,40.740262275999925,-73.83126834299985,135
136,40.86801852399987,-73.89996501599988,40.86801852399987,-73.89996501599988,136
137,40.74040257875024,-73.97219641647804,40.74040257875024,-73.97219641647804,137
141,40.759879715999936,-73.96177668399997,40.759879715999936,-73.96177668399997,141
142,40.76772505899991,-73.98147898799989,40.76772505899991,-73.98147898799989,142
152,40.82197589199988,-73.95357262899981,40.82197589199988,-73.95357262899981,152
138,40.78603815125499,-73.8712485624251,40.78603815125499,-73.8712485624251,138
143,40.780328934999936,-73.98162787399998,40.780328934999936,-73.98162787399998,143
144,40.71664465899988,-73.99580912300002,40.71664465899988,-73.99580912300002,144
145,40.75205360799992,-73.94345411699997,40.75205360799992,-73.94345411699997,145
146,40.74914697199991,-73.93675697199996,40.74914697199991,-73.93675697199996,146
147,40.82783428999991,-73.89515277899991,40.82783428999991,-73.89515277899991,147
148,40.720234238999886,-73.98447731699999,40.720234238999886,-73.98447731699999,148
153,40.875715608999904,-73.90666530999995,40.875715608999904,-73.90666530999995,153
154,40.608860039999875,-73.93531145199985,40.608860039999875,-73.93531145199985,154
155,40.62513319188153,-73.90464209220775,40.62513319188153,-73.90464209220775,155
156,40.64526879647802,-74.17989568340026,40.64526879647802,-74.17989568340026,156
159,40.82214148199989,-73.91189154999992,40.82214148199989,-73.91189154999992,159
157,40.73516035399992,-73.89783236899989,40.73516035399992,-73.89783236899989,157
158,40.74197084499985,-74.00779116099989,40.74197084499985,-74.00779116099989,158
160,40.72514643399994,-73.86970765399998,40.72514643399994,-73.86970765399998,160
161,40.7552996949999,-73.97534377999993,40.7552996949999,-73.97534377999993,161
162,40.75519332399994,-73.9712170449999,40.75519332399994,-73.9712170449999,162
163,40.76783673899992,-73.98136213699995,40.76783673899992,-73.98136213699995,163
164,40.7439431149999,-73.98362519999995,40.7439431149999,-73.98362519999995,164
170,40.745804967999945,-73.97203331099983,40.745804967999945,-73.97203331099983,170
165,40.62891518499989,-73.96014773499996,40.62891518499989,-73.96014773499996,165
166,40.81429809399993,-73.95707738499995,40.81429809399993,-73.95707738499995,166
167,40.8310333359999,-73.89690017899987,40.8310333359999,-73.89690017899987,167
178,40.62593266699988,-73.97080408199996,40.62593266699988,-73.97080408199996,178
168,40.81565901999995,-73.92480953899991,40.81565901999995,-73.92480953899991,168
169,40.85514637599989,-73.89816577499982,40.85514637599989,-73.89816577499982,169
171,40.77040317699989,-73.79317944599987,40.77040317699989,-73.79317944599987,171
172,40.56963231913558,-74.08654858694766,40.56963231913558,-74.08654858694766,172
173,40.75834030899992,-73.85540366099997,40.75834030899992,-73.85540366099997,173
174,40.88345419499996,-73.87772817699982,40.88345419499996,-73.87772817699982,174
175,40.758430468999904,-73.75625606399988,40.758430468999904,-73.75625606399988,175
179,40.777944498577085,-73.93290347544752,40.777944498577085,-73.93290347544752,179
176,40.57510757499989,-74.12187198599999,40.57510757499989,-74.12187198599999,176
177,40.6786314149999,-73.90287079599995,40.6786314149999,-73.90287079599995,177
180,40.683351365999904,-73.8411960569998,40.683351365999904,-73.8411960569998,180
181,40.665815079999895,-73.97583132299987,40.665815079999895,-73.97583132299987,181
182,40.83388802699988,-73.85465135700002,40.83388802699988,-73.85465135700002,182
183,40.84338596999993,-73.83676643699985,40.84338596999993,-73.83676643699985,183
184,40.88593181399989,-73.80728647099995,40.88593181399989,-73.80728647099995,184
185,40.85780626899989,-73.84004614299985,40.85780626899989,-73.84004614299985,185
186,40.74542088999988,-73.99096832799995,40.74542088999988,-73.99096832799995,186
189,40.67312139399996,-73.96070974499996,40.67312139399996,-73.96070974499996,189
190,40.66213019499987,-73.96307724199983,40.66213019499987,-73.96307724199983,190
187,40.64188679740515,-74.13435269573621,40.64188679740515,-74.13435269573621,187
188,40.6643026319999,-73.95729172699996,40.6643026319999,-73.95729172699996,188
191,40.723958595999896,-73.73016587199996,40.723958595999896,-73.73016587199996,191
192,40.74986422299987,-73.82239598999983,40.74986422299987,-73.82239598999983,192
193,40.76952572899989,-73.93522718099996,40.76952572899989,-73.93522718099996,193
194,40.79768484203896,-73.91639852914044,40.79768484203896,-73.91639852914044,194
196,40.728606921999884,-73.85762923599995,40.728606921999884,-73.85762923599995,196
195,40.6863570099999,-74.0071710969999,40.6863570099999,-74.0071710969999,195
203,40.673930284146124,-73.72753500301229,40.673930284146124,-73.72753500301229,203
197,40.704212451999936,-73.83696237799982,40.704212451999936,-73.83696237799982,197
198,40.71737969499987,-73.90768387299997,40.71737969499987,-73.90768387299997,198
199,40.798706328958765,-73.88885148496313,40.798706328958765,-73.88885148496313,199
212,40.82299645799986,-73.88421976599987,40.82299645799986,-73.88421976599987,212
213,40.817588762999954,-73.8366785639999,40.817588762999954,-73.8366785639999,213
200,40.904504520999915,-73.896411335,40.904504520999915,-73.896411335,200
204,40.55562847699989,-74.2032648999999,40.55562847699989,-74.2032648999999,204
201,40.5873623529999,-73.81849901800001,40.5873623529999,-73.81849901800001,201
202,40.76904692662474,-73.94180032729437,40.76904692662474,-73.94180032729437,202
205,40.70256339699992,-73.76636925199999,40.70256339699992,-73.76636925199999,205
206,40.648280162290085,-74.08221272914942,40.648280162290085,-74.08221272914942,206
207,40.759642037999896,-73.90137640299986,40.759642037999896,-73.90137640299986,207
208,40.84067575199989,-73.825986869,40.84067575199989,-73.825986869,208
209,40.71201189699988,-74.00499805099996,40.71201189699988,-74.00499805099996,209
210,40.5950607789999,-73.92759936700004,40.5950607789999,-73.92759936700004,210
211,40.71982079799995,-74.001523638,40.71982079799995,-74.001523638,211
214,40.59570472799985,-74.08491019899996,40.59570472799985,-74.08491019899996,214
215,40.70252488499994,-73.7769103769999,40.70252488499994,-73.7769103769999,215
216,40.688330889999925,-73.80857655199986,40.688330889999925,-73.80857655199986,216
217,40.70759344799989,-73.95554165799997,40.70759344799989,-73.95554165799997,217
218,40.67477901999992,-73.76561573099998,40.67477901999992,-73.76561573099998,218
219,40.66687775999986,-73.76182231299998,40.66687775999986,-73.76182231299998,219
225,40.68403405199995,-73.91741294299997,40.68403405199995,-73.91741294299997,225
220,40.8894579429999,-73.89827216899992,40.8894579429999,-73.89827216899992,220
224,40.73539025499987,-73.97511055399991,40.73539025499987,-73.97511055399991,224
226,40.749087274999944,-73.90989961499994,40.749087274999944,-73.90989961499994,226
221,40.63772995899997,-74.07530550099992,40.63772995899997,-74.07530550099992,221
222,40.65020211699988,-73.87908517399995,40.65020211699988,-73.87908517399995,222
223,40.79018099034471,-73.90649492923363,40.79018099034471,-73.90649492923363,223
227,40.64220490399991,-73.991928124,40.64220490399991,-73.991928124,227
228,40.669153483999914,-73.9969179149999,40.669153483999914,-73.9969179149999,228
229,40.75515238425916,-73.96162927534907,40.75515238425916,-73.96162927534907,229
230,40.75551634599986,-73.98362433299988,40.75551634599986,-73.98362433299988,230
231,40.72470155099989,-74.00931760399995,40.72470155099989,-74.00931760399995,231
239,40.78768560599987,-73.97501417199996,40.78768560599987,-73.97501417199996,239
232,40.71913288399984,-73.97635525199995,40.71913288399984,-73.97635525199995,232
233,40.75193959699992,-73.96547092299994,40.75193959699992,-73.96547092299994,233
234,40.73490456699995,-73.98996936399989,40.73490456699995,-73.98996936399989,234
235,40.86180812899987,-73.90947862999988,40.86180812899987,-73.90947862999988,235
236,40.77359989699994,-73.95779380499984,40.77359989699994,-73.95779380499984,236
237,40.76217929999994,-73.96612747299989,40.76217929999994,-73.96612747299989,237
238,40.785967388999964,-73.96884378999985,40.785967388999964,-73.96884378999985,238
240,40.89687059299995,-73.87643743099994,40.89687059299995,-73.87643743099994,240
241,40.88441707499996,-73.88840157099996,40.88441707499996,-73.88840157099996,241
258,40.68931894699996,-73.8450419489999,40.68931894699996,-73.8450419489999,258
242,40.84840635599993,-73.83593362199987,40.84840635599993,-73.83593362199987,242
245,40.64035805499989,-74.09787969199995,40.64035805499989,-74.09787969199995,245
263,40.77301984499992,-73.95218621999996,40.77301984499992,-73.95218621999996,263
243,40.86958215799991,-73.93156536999994,40.86958215799991,-73.93156536999994,243
244,40.851315432999854,-73.94068822000003,40.851315432999854,-73.94068822000003,244
253,40.76525691299991,-73.83908354399988,40.76525691299991,-73.83908354399988,253
246,40.76267135909888,-74.00439976203513,40.76267135909888,-74.00439976203513,246
247,40.8423565909999,-73.91222180499983,40.8423565909999,-73.91222180499983,247
248,40.84004456599995,-73.8639374809998,40.84004456599995,-73.8639374809998,248
249,40.72901638499997,-74.00250642399995,40.72901638499997,-74.00250642399995,249
257,40.660727440999956,-73.97984261899994,40.660727440999956,-73.97984261899994,257
250,40.83917330699989,-73.8455308949999,40.83917330699989,-73.8455308949999,250
251,40.631147728999956,-74.13107460299995,40.631147728999956,-74.13107460299995,251
252,40.80101146781907,-73.82049919995305,40.80101146781907,-73.82049919995305,252
254,40.879058864999905,-73.85186563799998,40.879058864999905,-73.85186563799998,254
255,40.72522879205536,-73.96176070375392,40.72522879205536,-73.96176070375392,255
256,40.71330630099992,-73.95834207500002,40.71330630099992,-73.95834207500002,256
259,40.91037152011096,-73.85107116191898,40.91037152011096,-73.85107116191898,259
260,40.76077547499996,-73.90175373399988,40.76077547499996,-73.90175373399988,260
261,40.7050307879999,-74.01332610899988,40.7050307879999,-74.01332610899988,261
262,40.78285908899991,-73.94383256699986,40.78285908899991,-73.94383256699986,262
